-3.848730	4.355190	-74354.3586800129
-3.848730	4.449680	-74354.3775979411
-3.848730	4.544170	-74354.3928667356
-3.848730	4.638650	-74354.4051634841
-3.848730	4.733140	-74354.4150093282
-3.848730	4.827620	-74354.4227563099
-3.848730	4.922110	-74354.4287869162
-3.848730	5.016600	-74354.4334471512
-3.848730	5.111080	-74354.4369191360
-3.848730	5.205570	-74354.4394130841
-3.943210	4.355190	-74354.3692039655
-3.943210	4.449680	-74354.3879015901
-3.943210	4.544170	-74354.4029646789
-3.943210	4.638650	-74354.4150742597
-3.943210	4.733140	-74354.4247435673
-3.943210	4.827620	-74354.4323310799
-3.943210	4.922110	-74354.4382083006
-3.943210	5.016600	-74354.4427275144
-3.943210	5.111080	-74354.4460667616
-3.943210	5.205570	-74354.4484595729
-4.037700	4.355190	-74354.3767617297
-4.037700	4.449680	-74354.3952679433
-4.037700	4.544170	-74354.4101574802
-4.037700	4.638650	-74354.4221023491
-4.037700	4.733140	-74354.4316216530
-4.037700	4.827620	-74354.4390671535
-4.037700	4.922110	-74354.4448149859
-4.037700	5.016600	-74354.4492108657
-4.037700	5.111080	-74354.4524323325
-4.037700	5.205570	-74354.4546748480
-4.132180	4.355190	-74354.3819036139
-4.132180	4.449680	-74354.4002485407
-4.132180	4.544170	-74354.4149853514
-4.132180	4.638650	-74354.4267926678
-4.132180	4.733140	-74354.4361822243
-4.132180	4.827620	-74354.4435052053
-4.132180	4.922110	-74354.4491372517
-4.132180	5.016600	-74354.4534254364
-4.132180	5.111080	-74354.4565977598
-4.132180	5.205570	-74354.4587777547
-4.226670	4.355190	-74354.3850896687
-4.226670	4.449680	-74354.4032936979
-4.226670	4.544170	-74354.4179006188
-4.226670	4.638650	-74354.4295881037
-4.226670	4.733140	-74354.4388666170
-4.226670	4.827620	-74354.4460865135
-4.226670	4.922110	-74354.4516168904
-4.226670	5.016600	-74354.4558517304
-4.226670	5.111080	-74354.4589143962
-4.226670	5.205570	-74354.4610267117
-4.321160	4.355190	-74354.3867002121
-4.321160	4.449680	-74354.4047868856
-4.321160	4.544170	-74354.4192838195
-4.321160	4.638650	-74354.4308684806
-4.321160	4.733140	-74354.4400515888
-4.321160	4.827620	-74354.4471791784
-4.321160	4.922110	-74354.4526179512
-4.321160	5.016600	-74354.4568003682
-4.415640	4.355190	-74354.3870477558
-4.415640	4.449680	-74354.4050333196
-4.415640	4.544170	-74354.4194382572
-4.415640	4.638650	-74354.4309329835
-4.415640	4.733140	-74354.4400338897
-4.415640	4.827620	-74354.4470755027
-4.510130	4.355190	-74354.3863799816
-4.510130	4.449680	-74354.4042807154
-4.510130	4.544170	-74354.4186027038
-4.510130	4.638650	-74354.4300243748
-4.604620	4.355190	-74354.3849133955
-4.604620	4.449680	-74354.4027414326
-4.604620	4.544170	-74354.4169969550
-4.699100	4.355190	-74354.3828189371
